一个舒服	yī gè shū fú
一大部分	yī dà bù fèn
一小部分	yī xiǎo bù fèn
一少部分	yī shǎo bù fèn
一路上	yī lù shàng
一部分	yī bù fèn
一部分一	yī bù fèn yī
一部分一部分	yī bù fèn yī bù fèn
一部分分	yī bù fèn fēn
一部分千户	yī bù fèn qiān hù
一部分台	yī bù fèn tái
一部分周	yī bù fèn zhōu
一部分回	yī bù fèn huí
一部分班	yī bù fèn bān
一部分瓦	yī bù fèn wǎ
一部分第	yī bù fèn dì
上上个月	shàng shàng gè yuè
上个	shàng gè
上个世纪	shàng gè shì jì
上个季度	shàng gè jì dù
上个星期	shàng gè xīng qī
上个月	shàng gè yuè
上岁数	shàng suì shù
下下个月	xià xià gè yuè
下个世纪	xià gè shì jì
下个季度	xià gè jì dù
下个星期	xià gè xīng qī
下个月	xià gè yuè
不可估量	bù kě gū liáng
不含糊	bù hán hū
不哼不哈	bù hēng bù hā
不怕困难	bù pà kùn nán
不断耷拉	bù duàn dā lā
专项合同	zhuān xiàng hé tóng
东萨哈	dōng sà hā
严重困难	yán zhòng kùn nán
主合同	zhǔ hé tóng
丽丽	lì lì
乌拉草	wū lā cǎo
乐亭	lào tíng
乐亭县	lào tíng xiàn
乐陵	lào líng
乐陵县	lào líng xiàn
乐陵市	lào líng shì
书写困难	shū xiě kùn nán
买卖合同	mǎi mài hé tóng
亚哈	yà hā
些个	xiē gè
产销合同	chǎn xiāo hé tóng
京哈	jīng hā
亲口答应	qīn kǒu dā yìng
从乐亭	cóng lào tíng
伊克哈	yī kè hā
伊斯哈	yī sī hā
伊蒂哈	yī dì hā
众街坊	zhòng jiē fāng
估量	gū liáng
作坊	zuō fáng
作坊式	zuō fáng shì
佩里哈	pèi lǐ hā
侍太监	shì tài jiàn
供销合同	gōng xiāo hé tóng
依样画葫芦	yī yàng huà hú lú
依样葫芦	yī yàng hú lú
依葫芦画瓢	yī hú lú huà piáo
保险合同	bǎo xiǎn hé tóng
信守合同	xìn shǒu hé tóng
假合同	jiǎ hé tóng
停当	tíng dàng
克服困难	kè fú kùn nán
其余部分	qí yú bù fèn
内廷太监	nèi tíng tài jiàn
冒泡泡	mào pào pào
冯太监	féng tài jiàn
冰糖葫芦	bīng táng hú lú
出个价	chū gè jià
分割部分	fēn gē bù fèn
切瑳琢磨	qiè cuō zuó mó
划拉	huá lā
刘太监	liú tài jiàn
制哪个呢	zhì nǎ gè ne
剃头发	tì tóu fà
剪头发	jiǎn tóu fà
努尔哈	nǔ ěr hā
劳动合同	láo dòng hé tóng
劳动合同制	láo dòng hé tóng zhì
劳太监	láo tài jiàn
十分困难	shí fēn kùn nán
十来个	shí lái gè
半拉	bàn lǎ
半拉子	bàn lǎ zǐ
半路上	bàn lù shàng
卓阿哈	zhuó ā hā
南京路上好八连	nán jīng lù shàng hǎo bā lián
博尔哈	bó ěr hā
卡哈	kǎ hā
卢太监	lú tài jiàn
印模糊剂	yìn mó hū jì
去模糊	qù mó hū
反覆思量	fǎn fù sī liáng
叨叨	dāo dāo
叨唠	dāo láo
叫个不停	jiào gè bù tíng
司天太监	sī tiān tài jiàn
司礼太监	sī lǐ tài jiàn
吆喝	yāo hè
吆喝声	yāo hè shēng
合同	hé tóng
合同书	hé tóng shū
合同价	hé tóng jià
合同制	hé tóng zhì
合同商	hé tóng shāng
合同工	hé tóng gōng
合同文书	hé tóng wén shū
合同文本	hé tóng wén běn
合同期	hé tóng qī
合同条款	hé tóng tiáo kuǎn
